time (sec)	x (pixels)	y (pixels)
0	347.397	11.801
0.15452	722.76	60.761
0.26375	748.77	66.665
0.32808	598.07	28.983
0.40682	384.457	11.128
0.47169	174.04	31.777
0.53673	34.85	68.942
0.61527	2.14	79.954
0.69333	47.87	62.731
0.8075	430.717	11.692
0.88704	628.64	37.129
0.95231	751.18	69.041
1.0149	770.17	73.364
1.0945	696.46	51.418
1.1596	518.17	17.433
1.2224	304.733	14.034
1.3026	116.1	44.414
1.3668	16.93	74.353
1.4305	12.62	74.804
1.4956	104.41	46.647
1.5758	297	14.966
1.6386	507.64	17.631
1.7026	678.92	49.218
1.7828	759.35	70.479
1.8464	745.83	64.521
1.9439	554.93	21.501
2.0424	263.17	17.772
2.1037	97.22	49.838
2.1825	17.11	74.043
2.2469	28.71	68.793
2.3107	150.85	35.059
2.3747	345.557	12.098
2.4559	546.72	22.364
2.5551	698.26	53.507
2.6652	719.12	56.627
2.7396	584.42	25.792
2.8558	195.68	28.033
2.9349	57.98	60.609
2.9989	25.1	71.285
3.0629	78.74	52.94
3.1432	227.25	22.315
3.207	426.385	12.081
3.2717	607.78	32.067
3.3355	724.39	60.033
3.4156	741.9	63.766
3.4802	668.66	43.071
3.5454	507.71	15.597
3.6231	311.203	13.628
3.6887	140.86	39.196
3.7509	43.22	64.916
3.8346	40	65.209
3.8985	134.37	39.128
3.9629	306.9	14.65
4.027	501.49	17.013
4.1043	656.33	42.003
4.168	731.84	61.56
4.2397	720.16	57.368
4.3113	607.28	29.448
4.3761	428.974	10.819
4.4397	240.14	21.112
4.5033	101.63	48.987
4.5829	48.37	64.869
4.648	72.16	55.688
4.7111	201.9	26.241
4.7913	386.725	11.412
4.8548	568.99	25.495
4.9189	692.88	51.047
4.9841	725.05	58.533
5.0629	678.84	45.59
5.1271	536.69	18.668
5.1925	350.896	11.613
5.2729	176.36	32.038
5.3351	72.67	57.143
5.3994	58.49	60.729
5.4665	119.72	43.393
5.5443	277.61	16.828
5.6071	462.99	13.167
5.6724	623.55	35.04
5.7498	710.53	55.093
5.8153	711.59	54.438
5.879	625.12	33.403
5.9588	460.129	12.24
6.0259	278.73	16.576
6.0877	129.02	42.113
6.1528	66.13	59.107
6.2473	112.08	44.759
6.3612	324.466	12.994
6.4249	505.12	16.646
6.4884	642.05	38.589
6.5526	706.65	53.569
6.6175	698.42	51.114
6.6811	597.48	27.767
6.7579	434.942	11.033
