date	average
5/11/1974	337.6075714
5/18/1974	337.1434286
5/25/1974	335.5507857
6/1/1974	334.9351429
6/8/1974	335.4792143
6/15/1974	334.7967857
6/22/1974	334.5280714
6/29/1974	333.6545714
7/6/1974	333.3562857
7/13/1974	332.6841429
7/20/1974	330.1321429
7/27/1974	330.0266429
8/3/1974	327.3711429
8/10/1974	327.5177143
8/17/1974	326.9198571
8/24/1974	326.5026429
8/31/1974	328.1464286
9/7/1974	326.3990714
9/14/1974	326.4284286
9/21/1974	326.3592857
9/28/1974	327.0922143
10/5/1974	328.0007857
10/12/1974	327.5762143
10/19/1974	328.6221429
10/26/1974	329.199
11/2/1974	329.6301429
11/9/1974	330.0059286
11/16/1974	330.5167143
11/23/1974	330.7722857
11/30/1974	331.2313571
12/7/1974	331.3112857
12/14/1974	332.7323571
12/21/1974	333.1845
12/28/1974	333.6652857
1/4/1975	333.564
1/11/1975	333.9104286
1/18/1975	333.538
1/25/1975	333.7076429
2/1/1975	334.6317143
2/8/1975	333.8567857
2/15/1975	333.6756429
2/22/1975	331.8261429
3/1/1975	332.6157857
3/8/1975	335.3587143
3/15/1975	333.8515714
3/23/1975	334.9089286
3/30/1975	335.4562143
4/6/1975	336.3467857
4/13/1975	335.8774286
4/20/1975	335.942
4/27/1975	336.1331429
5/4/1975	336.1566429
5/11/1975	336.1409286
5/18/1975	334.2867857
5/26/1975	333.5848571
6/2/1975	334.6327857
6/9/1975	334.8797143
6/16/1975	335.0731429
6/23/1975	334.7987857
6/30/1975	334.0684286
7/8/1975	332.6776429
7/15/1975	331.678
7/22/1975	330.5981429
7/29/1975	329.3682143
8/5/1975	328.8510714
8/12/1975	329.4286429
8/19/1975	327.9597143
8/26/1975	326.0415714
9/2/1975	325.7374286
9/9/1975	326.2452857
9/16/1975	327.5870714
9/23/1975	325.9815
9/30/1975	326.4244286
10/7/1975	327.8475714
10/14/1975	327.5031429
10/21/1975	328.5177143
10/28/1975	329.4785714
11/4/1975	330.5512143
11/11/1975	331.6287143
11/18/1975	331.8521429
11/26/1975	331.9495
12/3/1975	331.6227857
12/10/1975	332.9297857
12/17/1975	332.3
12/24/1975	332.5052857
12/31/1975	332.9239286
1/7/1976	332.0072262
1/14/1976	332.4842857
1/21/1976	332.8143214
