date	weekly average ssn
05/11/74	43.28571
05/18/74	74.28571
05/25/74	28.71429
06/01/74	31.14286
06/08/74	95.28571
06/15/74	41.28571
06/22/74	3.42857
06/29/74	14
07/06/74	51
07/13/74	53.85714
07/20/74	28.28571
07/27/74	12
08/03/74	63.42857
08/10/74	59
08/17/74	42.28571
08/24/74	55.14286
08/31/74	46.14286
09/07/74	23.14286
09/14/74	58
09/21/74	41.42857
09/28/74	17.85714
10/05/74	18.85714
10/12/74	58.71429
10/19/74	65.85714
10/26/74	12.28571
11/02/74	42.57143
11/09/74	90
11/16/74	65.42857
11/23/74	10.14286
11/30/74	20.14286
12/07/74	30.28571
12/14/74	17.14286
12/21/74	26.85714
12/28/74	30.71429
01/04/75	8
01/11/75	10.85714
01/18/75	36.42857
01/25/75	26.85714
02/01/75	19.42857
02/08/75	26.14286
02/15/75	24.85714
02/22/75	18
03/01/75	6
03/08/75	16.85714
03/15/75	20.42857
03/23/75	4.42857
03/30/75	4.14286
04/06/75	9.14286
04/13/75	16.14286
04/20/75	22.14286
04/27/75	2.28571
05/04/75	1.14286
05/11/75	6.57143
05/18/75	0
05/26/75	2.14286
06/02/75	17
06/09/75	23.28571
06/16/75	3.14286
06/23/75	3.42857
06/30/75	5
07/08/75	6.85714
07/15/75	2.28571
07/22/75	10.14286
07/29/75	13.71429
08/05/75	26
08/12/75	21.85714
08/19/75	36.85714
08/26/75	28.85714
09/02/75	28.42857
09/09/75	70.85714
09/16/75	65
09/23/75	20.71429
09/30/75	12
10/07/75	18.57143
10/14/75	19
10/21/75	15.14286
10/28/75	13.28571
11/04/75	4.28571
11/11/75	11
11/18/75	16
11/26/75	9.14286
12/03/75	1
12/10/75	10.57143
12/17/75	27.85714
12/24/75	31.28571
12/31/75	13.28571
01/07/76	10.42857
01/14/76	12.14286
01/21/76	5.42857
01/28/76	5.57143
02/04/76	1.14286
02/11/76	0
02/18/76	14.28571
02/25/76	17
03/03/76	3.57143
03/10/76	1.14286
03/17/76	0
03/24/76	13
03/31/76	3.85714
04/07/76	1
04/14/76	9.14286
04/21/76	21.14286
04/28/76	35
05/05/76	35
05/12/76	11.14286
05/19/76	15
05/26/76	26
06/02/76	20.57143
06/09/76	21.28571
06/16/76	13.28571
06/23/76	17.85714
06/30/76	7.14286
07/07/76	0
07/14/76	3.85714
07/21/76	12.71429
07/28/76	25
08/04/76	12.14286
08/11/76	7.28571
08/18/76	0
08/25/76	0
09/01/76	0
09/08/76	10.28571
09/15/76	24.42857
09/22/76	18.57143
09/29/76	13.28571
10/06/76	11.42857
10/13/76	12.28571
10/20/76	17.71429
10/27/76	4.28571
11/03/76	18.42857
11/10/76	28.14286
11/17/76	10.57143
11/24/76	23.14286
12/01/76	26
12/08/76	3.28571
12/15/76	0
12/22/76	6.85714
12/29/76	10.85714
01/05/77	4.71429
01/12/77	6.85714
01/19/77	24.42857
01/26/77	15.42857
02/02/77	19.28571
02/09/77	21.57143
02/16/77	8.42857
02/23/77	18.14286
03/02/77	20.28571
03/09/77	13.57143
03/16/77	17.14286
03/23/77	49.42857
03/30/77	15.85714
04/06/77	4.57143
04/13/77	13.14286
04/20/77	8
04/27/77	3.71429
05/04/77	11.28571
05/11/77	8.14286
05/18/77	8.28571
05/25/77	25
06/01/77	11.14286
06/08/77	15.85714
06/15/77	24.28571
06/22/77	20.28571
06/29/77	7.57143
07/06/77	29.42857
07/13/77	40.42857
07/20/77	19.85714
07/27/77	29.71429
08/03/77	62.71429
08/10/77	39
08/17/77	13.42857
08/24/77	3.28571
08/31/77	34
09/07/77	15.57143
09/14/77	25.71429
09/21/77	37.85714
09/28/77	28.28571
10/05/77	33.85714
10/12/77	24.57143
10/19/77	44.85714
10/26/77	55.42857
11/02/77	51.85714
11/09/77	48.14286
11/16/77	44
11/23/77	52
11/30/77	33.14286
12/07/77	40.71429
12/14/77	27.28571
12/21/77	35.85714
12/28/77	35.14286
01/04/78	13.57143
01/11/78	44.85714
01/18/78	55.42857
01/25/78	29.14286
02/01/78	40.42857
02/08/78	87.57143
02/15/78	38.57143
02/22/78	25.57143
03/01/78	31.71429
03/08/78	100.57143
03/15/78	121
03/22/78	90.85714
03/29/78	63.28571
04/05/78	91.71429
04/12/78	90.71429
04/19/78	78.71429
04/26/78	74.42857
05/03/78	59
05/10/78	75.42857
05/17/78	111.14286
05/24/78	100.57143
05/31/78	114.85714
06/07/78	85
06/14/78	71
06/21/78	79.71429
06/28/78	78.28571
07/05/78	102.85714
07/12/78	57.42857
07/19/78	57
07/26/78	120.28571
08/02/78	141
08/09/78	63.42857
08/16/78	109.14286
08/23/78	93.71429
08/30/78	38
09/06/78	40.28571
09/13/78	64.71429
09/20/78	70.57143
09/27/78	40.14286
10/04/78	63.57143
10/11/78	160.71429
10/18/78	98.42857
10/25/78	151.57143
11/01/78	150.71429
11/08/78	100.28571
11/15/78	122.57143
11/22/78	155.28571
11/29/78	119.71429
12/06/78	119.85714
12/13/78	117.28571
12/20/78	91.57143
12/27/78	78
01/03/79	99.57143
01/10/79	116.57143
01/17/79	159.57143
01/24/79	115.42857
01/31/79	84.71429
02/07/79	162.14286
02/14/79	162.71429
02/21/79	159.85714
02/28/79	187.57143
03/07/79	149.28571
03/14/79	134.28571
03/21/79	146.71429
03/28/79	164.85714
04/04/79	104.28571
04/11/79	141.28571
04/18/79	156.42857
04/25/79	136.71429
05/02/79	119.85714
05/09/79	132.71429
05/16/79	82
05/23/79	107
05/30/79	80.85714
06/06/79	118
06/13/79	137
06/20/79	178.57143
06/27/79	119.28571
07/04/79	114.85714
07/11/79	179
07/18/79	193.57143
07/25/79	116.14286
08/01/79	112.28571
08/08/79	180
08/15/79	192.14286
08/22/79	121.42857
08/29/79	149.14286
09/05/79	133
09/12/79	112.14286
09/19/79	102.28571
09/26/79	181.42857
10/03/79	179.57143
10/10/79	151
10/17/79	175.28571
10/24/79	177.71429
10/31/79	226.57143
11/07/79	204.28571
11/14/79	182.28571
11/21/79	203.42857
11/28/79	189.71429
12/05/79	177.71429
12/12/79	196.14286
12/19/79	244.42857
12/26/79	163.28571
01/02/80	133.14286
01/09/80	176.71429
01/16/80	250.28571
01/23/80	180.71429
01/30/80	119
02/06/80	136
02/13/80	207.42857
02/20/80	181.57143
02/27/80	121.57143
03/05/80	130.71429
03/12/80	192.42857
03/19/80	151.71429
